Threshold,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,9.69785,7.16055,5.30884,2.50765,1.6797,10.9596,5.63284,4.11963,2.58123,1.68467,7.94815,33.4301,34.9524,10.0964,11.6972,15.9152,10.7626,7.74698,2.30952,1.9666,10.5098,7.47216,6.25076,2.49826,1.90016
1,6.79445,8.24546,5.88908,2.55635,3.46024,6.14167,2.54215,5.06746,2.34925,2.84612,21.3093,15.7534,23.263,11.2105,74.4669,11.605,19.015,8.53076,1.70428,3.35179,6.27286,8.17177,8.97254,2.10263,4.32487
1,16.5295,9.71847,5.59369,4.90487,7.4269,10.1815,1.40822,3.42392,2.40639,6.03675,34.783,34.2065,16.1641,13.4162,166.475,21.497,12.8528,8.54837,3.27425,4.41136,13.2725,9.38001,6.08763,5.15704,7.71568
1,20.4302,9.94473,6.21518,4.71774,9.97659,26.2208,4.45105,8.04248,1.2557,8.98795,33.7726,56.8798,30.6819,20.1138,233.862,35.0469,21.2426,17.7505,2.36493,5.97814,20.966,12.75,4.44068,5.35418,11.2101
1,27.4413,7.5025,7.84041,3.36706,11.4017,39.1719,9.16252,6.7439,1.50947,10.4705,32.4753,31.4714,33.7799,29.9626,283.713,43.2532,24.5712,14.4799,1.96134,9.13205,32.0928,8.98782,8.80568,2.88787,11.8707
1,25.9601,8.52532,6.84438,4.7741,9.35171,26.5614,6.11933,5.1815,3.46695,9.46464,28.1921,43.3305,15.4635,46.2459,236.3,36.285,14.6523,6.82943,2.66841,7.62322,24.9465,6.72054,9.67884,2.92003,8.59376
1,34.1584,6.86186,7.05486,5.36302,10.3909,34.4444,7.45355,4.27557,3.27264,9.80734,18.9755,63.0733,8.87118,53.4073,279.516,44.0756,6.52117,5.82861,3.24953,8.79782,29.563,5.842,7.56651,4.04321,9.58448
1,18.9006,7.86529,7.40107,2.88687,8.29761,19.7569,8.23127,2.90426,1.70478,8.22742,36.476,49.3408,10.2248,30.6564,234.734,27.577,4.42428,5.33894,2.60095,7.66047,17.8711,7.07535,5.4795,2.9924,8.95542
1,17.6153,8.17984,5.15708,2.38455,6.52062,12.0592,10.1614,4.84197,2.57357,7.36965,39.4291,49.0634,10.3174,26.888,201.33,20.8214,7.33265,4.2498,2.99341,7.29512,15.4006,10.5889,5.75523,2.54459,7.04902
1,21.0525,16.3341,4.27781,4.0927,5.09896,19.4474,21.7167,4.16637,3.40849,5.90331,19.3142,29.3053,11.3708,19.2317,137.747,16.2021,13.9237,4.62548,4.01136,5.36955,18.3689,21.6112,4.7623,3.68267,5.3736
1,20.3071,10.2607,8.49669,3.20277,3.4085,12.212,13.8176,7.3417,2.33188,3.53112,25.1523,14.6777,11.6367,9.06839,51.72,12.812,13.5876,7.91819,3.44022,2.79223,10.3063,16.5606,9.90329,3.28951,3.19473
1,18.2283,8.16367,8.72627,1.82382,2.99341,9.61368,10.9439,9.23966,1.73884,2.33569,30.5114,15.3247,13.6536,5.08558,33.4189,16.5989,12.2565,12.7196,3.09694,2.63663,11.5343,11.8522,11.574,2.34611,1.95347
1,32.0538,12.8382,17.5159,2.11828,4.26139,14.9804,12.8238,12.2395,1.50248,3.03001,23.0119,13.6712,20.4448,4.90827,48.0273,23.2622,12.019,17.039,4.09297,3.62039,22.7902,12.3978,16.6867,2.65518,2.79148
1,54.7491,14.7102,26.7125,2.85667,3.678,13.241,6.80591,15.1062,2.8802,2.17457,46.2644,11.9529,16.4544,6.08706,36.357,15.4488,7.69578,25.2881,4.38105,2.87183,17.8338,9.46121,20.774,4.17875,3.08153
1,26.7525,11.0658,8.53234,3.68369,3.71837,5.1319,5.00358,6.78744,3.5242,4.10162,40.1825,15.9093,18.6622,6.55522,91.447,7.44897,11.726,11.3393,3.39929,4.08758,10.0538,7.7125,7.2043,3.74908,4.15976
1,8.68748,9.18827,5.69236,4.57755,10.3117,5.71425,7.50964,4.69837,4.01819,12.3884,23.8933,38.8844,35.1338,23.106,330.587,10.9031,18.8799,9.16064,5.0853,10.1795,7.27062,9.64223,5.43681,2.58682,11.6161
1,12.2629,12.7682,8.59674,5.73239,11.2487,6.24978,9.97895,6.194,6.01473,13.5291,23.6179,44.4972,32.7497,37.8835,399.298,13.8652,18.3111,15.351,5.52791,12.9786,9.84036,14.1731,9.47379,3.39446,14.7012
1,20.5901,10.776,7.98167,7.21362,15.2087,11.4886,8.59906,7.03599,4.86627,16.768,9.66252,31.2859,59.4107,43.2004,515.984,16.8573,19.4837,7.71965,4.12818,15.4184,15.9082,14.269,9.2763,4.51035,17.8789
1,24.0218,8.72846,5.751,9.14547,16.184,17.2027,8.74694,5.22765,7.11272,16.6605,7.04185,34.3764,58.7782,99.9543,472.545,22.2657,13.4793,5.10775,6.44667,15.8217,22.1134,11.0817,6.17304,6.70542,16.4535
1,17.3617,13.1418,10.0214,18.5381,10.2275,14.6666,11.7992,5.72988,19.7823,11.4145,13.5397,53.5318,41.1738,469.129,287.452,15.1628,11.187,6.5862,16.8613,11.0967,16.882,16.7278,10.7933,24.9726,10.6188
1,19.2185,7.66391,10.8049,19.5461,9.71468,16.6297,9.0352,6.01157,19.7273,10.575,10.8489,65.1145,43.3821,590.199,278.811,15.0849,4.0938,9.06832,22.6586,9.23011,18.4623,14.6162,9.43904,27.2771,11.5878
1,17.6775,11.2645,5.65629,13.2396,14.9748,17.9036,6.42199,4.63218,12.6352,16.5993,15.0143,36.1916,32.1951,326.123,419.208,27.6883,8.06974,6.83794,14.4877,13.0259,24.2087,13.5132,7.45463,17.2951,17.3094
1,5.95817,6.83051,4.76824,7.71897,18.5912,12.7721,3.62246,6.74091,7.42228,19.8251,25.1672,9.47254,38.9475,110.651,506.844,21.9903,10.2983,6.48373,7.72823,17.0762,14.2868,4.773,9.07445,10.2177,21.3836
1,3.69408,8.1153,6.34627,9.55457,20.9311,10.6662,5.32199,6.025,9.62761,20.3827,15.2545,9.75646,34.9908,225.426,519.051,9.0274,5.38459,6.62566,10.6125,15.1238,3.36592,6.18126,8.77025,9.40523,20.8439
1,6.77102,13.0058,6.52093,20.4586,10.6286,6.74859,9.34726,6.04975,23.1833,11.1752,15.7459,9.64075,17.5685,612.674,310.69,4.32622,4.18261,6.91009,22.4967,10.3969,8.56915,10.8648,4.20317,19.0994,13.017
1,14.0823,11.8118,8.50526,10.94,13.031,7.18766,8.79388,5.45301,11.5276,15.2495,27.9702,18.2449,16.6594,284.572,431.867,5.25482,6.93261,7.62761,11.9555,15.6445,8.31063,8.54407,4.74913,10.4284,20.2417
1,34.3576,20.5575,7.6646,6.82549,17.4518,7.91984,7.9039,5.12931,6.24309,19.0829,15.6888,23.3307,33.1347,61.9772,505.962,8.42312,10.6856,5.61847,3.45319,18.3034,13.299,18.9224,5.34769,4.52003,21.2209
1,35.0141,30.0951,9.12449,4.76813,17.0801,9.78126,11.3547,5.84962,4.38869,16.9427,11.2568,40.2336,36.8822,35.2074,450.65,11.9457,20.6561,6.54755,3.84154,14.2593,24.2263,30.1238,7.71575,4.28922,16.6527
1,33.1485,20.3307,20.0569,4.26224,17.6642,12.6557,9.85455,11.0334,4.4664,18.8828,8.21171,38.3562,72.173,45.5756,516.222,17.4218,13.2224,9.55603,3.14985,17.0202,30.7661,23.8836,16.6022,6.95889,18.8833
1,11.726,10.1616,10.1422,4.89015,18.9107,5.92691,7.84006,7.59445,5.20681,20.3652,3.68278,14.1918,139.261,60.6018,572.825,7.20572,6.15176,6.79143,2.76926,17.7314,8.43353,14.3711,11.968,6.5174,20.8437
